                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 0.8953,                   0.51,                0.82006,                 1.2193,                0.61272,                0.81594,                0.89053,                0.81885,                 0.8871,                0.64883,                 0.7684,                0.40585,                 0.8093,                 1.0249,                0.48947,                0.80317,               0.005545,               0.005545,               0.005545
                     93,                0.89271,                0.50514,                0.82038,                 1.2161,                0.60227,                0.81493,                0.89019,                0.81878,                0.88719,                0.64909,                0.76819,                0.40552,                0.80927,                 1.0247,                0.48948,                0.80311,              0.0054955,              0.0054955,              0.0054955
                     94,                0.87906,                0.49486,                0.82119,                  1.205,                0.59619,                0.81618,                0.89093,                0.82002,                0.88756,                0.64934,                0.76797,                0.40513,                0.80923,                 1.0241,                 0.4886,                0.80305,               0.005446,               0.005446,               0.005446
                     95,                0.89123,                0.49961,                0.82074,                 1.2093,                0.59801,                0.81668,                0.88792,                0.82276,                0.88778,                0.64965,                0.76774,                0.40473,                0.80917,                 1.0237,                 0.4881,                0.80308,              0.0053965,              0.0053965,              0.0053965
                     96,                0.87772,                0.48955,                0.82153,                 1.1953,                0.58618,                0.81712,                0.88687,                0.82259,                 0.8878,                0.64989,                0.76747,                0.40449,                0.80913,                 1.0233,                0.48761,                0.80306,               0.005347,               0.005347,               0.005347
                     97,                0.88635,                0.50127,                0.82244,                 1.2009,                0.59784,                0.81506,                0.88774,                0.82251,                0.88825,                0.65012,                0.76714,                0.40413,                0.80909,                 1.0228,                0.48721,                  0.803,              0.0052975,              0.0052975,              0.0052975
                     98,                0.88008,                0.49062,                0.82015,                  1.196,                0.58907,                0.81427,                0.88911,                0.82274,                0.88821,                 0.6502,                0.76688,                 0.4039,                0.80904,                 1.0224,                 0.4867,                0.80296,               0.005248,               0.005248,               0.005248
                     99,                0.88461,                0.49225,                0.82095,                 1.2012,                0.59079,                0.81562,                0.88964,                0.82146,                0.88843,                0.65059,                0.76652,                0.40361,                0.80897,                 1.0217,                0.48651,                0.80293,              0.0051985,              0.0051985,              0.0051985
                    100,                0.88248,                0.49498,                0.81892,                 1.1952,                0.59044,                0.81377,                0.88794,                0.82295,                 0.8889,                0.65065,                 0.7662,                0.40338,                0.80891,                 1.0213,                0.48616,                0.80289,               0.005149,               0.005149,               0.005149
                    101,                 0.8892,                0.49968,                 0.8204,                 1.2074,                0.59828,                0.81405,                0.88957,                0.82163,                0.88892,                0.65082,                0.76588,                0.40305,                0.80887,                 1.0207,                0.48612,                0.80285,              0.0050995,              0.0050995,              0.0050995
                    102,                0.87977,                0.48859,                0.82023,                 1.1934,                0.58179,                0.81454,                0.88526,                0.82602,                0.88894,                0.65117,                0.76562,                0.40274,                0.80881,                 1.0201,                0.48659,                0.80287,                0.00505,                0.00505,                0.00505
                    103,                0.87187,                0.48618,                0.82022,                 1.1875,                0.58168,                0.81446,                0.88834,                0.82065,                0.88912,                 0.6513,                0.76523,                0.40251,                0.80877,                 1.0197,                0.48595,                0.80282,              0.0050005,              0.0050005,              0.0050005
                    104,                0.86957,                0.48841,                0.82051,                 1.1857,                0.58612,                0.81442,                 0.8867,                0.82253,                0.88917,                0.65147,                0.76497,                0.40236,                0.80872,                 1.0193,                0.48614,                0.80277,               0.004951,               0.004951,               0.004951
